Department / Agency / Crown Corporation,Ministère/organisme/société d'État,Program name,Nom de programme,Category,Catégorie,Project name,Nom de projet,Project description,Description du projet,Recipient type,Type de destinataire,Ultimate recipient name,Nom du destinataire final,Program contribution,Estimated total project cost,Contribution du programme,Coût total estimé du projet,Funding date / estimated start date,Funding date / Date de début estimée,Province/Territory,Province/Territoire,Municipality / Community,Municipalité / Communauté,Icon,Latitude,Longitude,Additional information,informations complémentaires,
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Acquisition of 17 new buses,Acquisition de 17 nouveaux autobus,Not Available,Sans objet,Local Government,Administration locale,"Ottawa, City of","Ottawa, Ville d'","$6,800,000.00","$13,600,000.00",$6 800 000,$13 600 000,Summer 2017,&Eacute;té 2017,Ontario,Ontario,Ottawa,Ottawa,Public Transit,45.414469,-75.633434,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Acquisition of 2 train sets,Acquisition de deux rames,Not Available,Sans objet,Local Government,Administration locale,"Ottawa, City of","Ottawa, Ville d'","$20,000,000.00","$40,000,000.00",$20 000 000,$40 000 000,Summer 2017,&Eacute;té 2017,Ontario,Ontario,Ottawa,Ottawa,Public Transit,45.414469,-75.633434,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Acquisition of 20 Replacement Buses,Acquisition de 20 autobus de remplacement,Not Available,Sans objet,Local Government,Administration locale,"Brampton, Corporation of the City of","Brampton, Corporation de la Ville de","$6,100,000.00","$12,200,000.00",$6 100 000,$12 200 000,Spring 2017,Printemps 2017,Ontario,Ontario,Brampton,Brampton,Public Transit,43.715147,-79.809146,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Acquisition of 3 Articulated Buses to meet ridership demand,Acquisition de 3 autobus articulés pour répondre à l’achalandage,Not Available,Sans objet,Local Government,Administration locale,"Brampton, Corporation of the City of","Brampton, Corporation de la Ville de","$2,100,000.00","$4,200,000.00",$2 100 000,$4 200 000,Spring 2017,Printemps 2017,Ontario,Ontario,Brampton,Brampton,Public Transit,43.715147,-79.809146,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Acquisition of 68 12-metre hybrid buses - in addition to the quantities authorized for 2017 and 2018.,Acquisition de 68 bus hybrides 12 mètres - ajout aux quantités autorisées pour 2017 et 2018,Not Available,Sans objet,Transportation authority,Régie des transports,Société de transport de Montréal (STM),Société de transport de Montréal (STM),"$26,212,000.00","$52,424,000.00",$26 212 000,$52 424 000,Summer 2017,&Eacute;té 2017,Quebec,Québec,Montréal,Montréal,Public Transit,45.499481,-73.565703,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Acquisition of a commercial grade floor sweeper for maintenance garage floor,Acquisition d’un balayeur de plancher de qualité commerciale pour le plancher du garage d’entretien,Not Available,Sans objet,Local Government,Administration locale,"Windsor, City of","Windsor, Ville de","$42,500.00","$85,000.00",$42 500,$85 000,Spring 2017,Printemps 2017,Ontario,Ontario,Windsor,Windsor,Public Transit,42.286499,-82.968352,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Acquisition of a commercial grade parts washer for maintenance garage,Acquisition d’une machine à laver des pièces de qualité commerciale pour le garage d’entretien,Not Available,Sans objet,Local Government,Administration locale,"Windsor, City of","Windsor, Ville de","$37,500.00","$75,000.00",$37 500,$75 000,Spring 2017,Printemps 2017,Ontario,Ontario,Windsor,Windsor,Public Transit,42.286503,-82.968357,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Acquisition of Automated Vehicle Monitoring System (AVM),Acquisition d’un système de surveillance automatique des véhicules (SAV),Not Available,Sans objet,Local Government,Administration locale,"Brampton, Corporation of the City of","Brampton, Corporation de la Ville de","$1,261,000.00","$2,522,000.00",$1 261 000,$2 522 000,Spring 2017,Printemps 2017,Ontario,Ontario,Brampton,Brampton,Public Transit,43.715148,-79.809146,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Acquisition of bus shelters for 2018,Acquisition abribus 2018,Not Available,Sans objet,Transportation authority,Régie des transports,Société de transport de Laval (STL),Société de transport de Laval (STL),"$85,500.00","$171,000.00",$85 500,$171 000,Winter 2018,Hiver 2018,Quebec,Québec,Laval,Laval,Public Transit,45.582179,-73.726537,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Acquisition of buses - midibuses (32),Acquisition d'autobus - Midibus (32),Not Available,Sans objet,Transportation authority,Régie des transports,Réseau de transport de la Capitale (RTC),Réseau de transport de la Capitale (RTC),"$15,857,500.00","$31,715,000.00",$15 857 500,$31 715 000,Autumn 2017,Automne 2017,Quebec,Québec,Québec,Québec,Public Transit,46.837639,-71.277634,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Acquisition of fleet inspection equipment to support the bus rehabilitation program,Acquisition d’équipement d’inspection du parc pour soutenir le programme de restauration des autobus,Not Available,Sans objet,Local Government,Administration locale,"Windsor, City of","Windsor, Ville de","$387,500.00","$775,000.00",$387 500,$775 000,Autumn 2017,Automne 2017,Ontario,Ontario,Windsor,Windsor,Public Transit,42.28651,-82.968356,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,"Acquisition of new Intelligent Transportation System (ITS) equipment (i.e. Closed-Circuit Television, detection devices)","Acquisition de nouvel équipement (c.-à-d., télévision à circuit fermé, appareils de détection) pour le système de transport intelligent (STI) ",Not Available,Sans objet,Local Government,Administration locale,"Mississauga, City of","Mississauga, Ville de","$39,823.55","$79,647.12","$39 823,55","$79 647,12",Summer 2017,&Eacute;té 2017,Ontario,Ontario,Mississauga,Mississauga,Public Transit,43.570155,-79.637187,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Acquisition of new traffic signal equipment enhancements (i.e. Accessible Pedestrian Signals and Pedestrian Countdown Signals),"Acquisition d’un nouvel équipement amélioré de signalisation du transport en commun (c.-à-d., signaux accessibles et signaux de décompte pour piétons) ",Not Available,Sans objet,Local Government,Administration locale,"Mississauga, City of","Mississauga, Ville de","$79,652.24","$159,304.49","$79 652,24","$159 304,49",Summer 2017,&Eacute;té 2017,Ontario,Ontario,Mississauga,Mississauga,Public Transit,43.570152,-79.637182,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Acquisition of slow-charge stations,Acquisition de bornes à recharge lente,Not Available,Sans objet,Transportation authority,Régie des transports,Société de transport de Laval (STL),Société de transport de Laval (STL),"$11,000.00","$22,000.00",$11 000,$22 000,Winter 2017,Hiver 2017,Quebec,Québec,Laval,Laval,Public Transit,45.582179,-73.726527,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Acquisition of tire changer and balancer to enhance fleet maintenance.,Acquisition d’une machine à changer les pneus et à équilibrer les roues afin d’améliorer l’entretien de la flotte,Not Available,Sans objet,Local Government,Administration locale,"Renfrew, Town of","Renfrew, Ville de","$5,000.00","$10,000.00",$5 000,$10 000,Winter 2018,Hiver 2018,Ontario,Ontario,Renfrew,Renfrew,Public Transit,45.473174,-76.684113,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Acquisition of Twenty-four 40 foot clean diesel buses,Acquisition de 24 autobus à moteur diesel propre de 40 pieds,Not Available,Sans objet,Local Government,Administration locale,"Windsor, City of","Windsor, Ville de","$6,247,392.00","$12,494,784.00",$6 247 392,$12 494 784,Spring 2017,Printemps 2017,Ontario,Ontario,Windsor,Windsor,Public Transit,42.28651,-82.968356,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Acquisition of up to 10 new transit buses to increase Service Hours, Acquisition d’un maximum de 10 nouveaux autobus pour renforcer les heures de service,Not Available,Sans objet,Local Government,Administration locale,"Mississauga, City of","Mississauga, Ville de","$2,923,222.13","$5,846,444.26","$2 923 222,13","$5 846 444,26",Winter 2017,Hiver 2017,Ontario,Ontario,Mississauga,Mississauga,Public Transit,43.706386,-79.630217,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Acquisition of up to 29 - 60 foot buses to replace aging buses.,"Acquisition d’un maximum de 29 autobus de 18,2 m (60 pi) pour remplacer les autobus vieillissants",Not Available,Sans objet,Local Government,Administration locale,"Mississauga, City of","Mississauga, Ville de","$13,855,135.02","$27,710,270.04","$13 855 135,02","$27 710 270,04",Autumn 2017,Automne 2017,Ontario,Ontario,Mississauga,Mississauga,Public Transit,43.706389,-79.630214,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Acquisition of up to 3 new transit buses to increase service and ridership,Acquisition de 3 nouveaux autobus pour augmenter le service et le nombre de passagers,Not Available,Sans objet,Local Government,Administration locale,"Mississauga, City of","Mississauga, Ville de","$131,144.55","$262,289.11","$131 144,55","$262 289,11",Winter 2017,Hiver 2017,Ontario,Ontario,Mississauga,Mississauga,Public Transit,43.569775,-79.654755,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
